Country,Index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,gdppc,2196,2214,2434,2423,2597,2884,3103,3410,3652,3550,3588,3580,3748,3797,3843,3748,3530,3410,3230
Angola,hdi,0.394,0.404,0.419,0.428,0.440,0.453,0.466,0.482,0.494,0.508,0.510,0.525,0.537,0.547,0.557,0.565,0.570,0.576,0.574
Angola,population,16.4,16.95,17.52,18.12,18.76,19.43,20.15,20.91,21.7,22.51,23.36,24.22,25.11,26.02,26.94,27.88,28.84,29.82,30.81
Angola,lifeexp,46.5,47.1,47.7,48.4,49.3,50.2,51.1,52.2,53.2,54.3,55.4,56.3,57.2,58.1,58.8,59.4,59.9,60.4,60.8
Argentina,gdppc,8224,7776,6854,7380,7962,8578,9175,9902,10201,9502,10386,10883,10650,10785,10399,10568,10239,10404,10044
Argentina,hdi,0.770,0.775,0.770,0.775,0.775,0.777,0.801,0.806,0.810,0.810,0.818,0.823,0.823,0.824,0.825,0.828,0.828,0.832,0.830
Argentina,population,36.87,37.28,37.68,38.09,38.49,38.89,39.29,39.68,40.08,40.48,40.79,41.26,41.73,42.2,42.67,43.13,43.59,44.04,44.49
Argentina,lifeexp,73.6,73.8,73.9,74.1,74.3,74.5,74.6,74.8,75,75.1,75.3,75.4,75.6,75.8,75.9,76.1,76.2,76.4,76.5
Australia,gdppc,44334,44585,45807,46596,47927,48814,49443,51024,51841,51767,52022,52568,53682,54130,54679,55080,55729,56095,56864
Australia,hdi,0.898,0.900,0.903,0.904,0.907,0.902,0.905,0.908,0.922,0.923,0.926,0.928,0.932,0.926,0.929,0.933,0.935,0.937,0.938
Australia,population,19.15,19.41,19.65,19.9,20.13,20.39,20.7,20.83,21.25,21.69,22.03,22.34,22.73,23.13,23.48,23.82,24.19,24.6,24.98
Australia,lifeexp,79.2,79.6,79.9,80.2,80.5,80.8,81,81.3,81.4,81.5,81.7,81.9,82,82.1,82.3,82.4,82.4,82.5,82.7
Austria,gdppc,42001,42371,42859,43053,43957,44638,45952,47510,48053,46123,46858,48065,48172,47901,47843,47789,48260,49113,50057
Austria,hdi,0.838,0.849,0.838,0.842,0.849,0.855,0.861,0.881,0.884,0.886,0.895,0.897,0.899,0.896,0.904,0.906,0.909,0.912,0.914
Austria,population,8.01,8.04,8.08,8.12,8.17,8.23,8.27,8.3,8.32,8.34,8.36,8.39,8.43,8.48,8.55,8.64,8.74,8.8,8.84
Austria,lifeexp,78.1,78.6,78.7,78.6,79.2,79.3,79.9,80.2,80.4,80.3,80.6,81,80.9,81.1,81.5,81.2,81.6,81.6,81.7
