Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,2195,63058208212,2213,68116198694,2433,80439286308,2423,29399490108,2597,45699523307,2883,97821142556,3102,65092800056,3409,50346175619,3652,15349820189,3549,5778566281,3587,88379824396,3579,96008133817,3748,44944481631,3796,88262194857,3843,19824098164,3748,32062301759,3530,30942264945,3409,92928463039,3229,61973975117
Argentina,8224,11282651363,7776,13787206685,6854,29408086406,7380,4670873289,7962,41230916816,8577,86499429459,9174,50245831661,9901,51188115634,10201,4759370923,9502,24358504659,10385,9644319555,10883,315359489,10649,8372874572,10784,6306992057,10398,6940069464,10568,1578087083,10239,4813479933,10404,2635134208,10043,5085520823
Australia,44334,3929341041,44585,1985160971,45806,6944747073,46595,9009195353,47926,7486611411,48813,8877630783,49443,225533311,51024,2411265745,51841,2730313421,51767,3778350804,52022,1255961876,52567,7772438131,53682,0472210505,54129,9390516228,54679,420178522,55079,8921159501,55728,6844626056,56095,1863203728,56864,3323797642
Austria,42001,210774577,42370,9302536426,42859,3299380524,43052,602598004,43956,5829032552,44637,8560109729,45951,7346365426,47510,2937856663,48053,4823567215,46123,4911031965,46858,0432733717,48065,3165411898,48172,2381151452,47901,366129632,47842,7489082353,47789,3850154389,48259,9375956173,49112,7328902854,50056,7378897051
Belgium,39588,5980069678,39886,4943648175,40385,8689506619,40634,5854893595,41903,9764229122,42641,6774559424,43442,5678977027,44710,3850177577,44556,8205778637,43306,5991304703,44141,8781415734,44309,6253696963,44361,2084743341,44355,3694469554,44855,9578724323,45503,3519914323,45957,6821092271,46680,2075195808,47120,3296472424
Bolivia,1601,41665812106,1597,64201121273,1606,90467715541,1620,26366392743,1657,50512835135,1700,18279095051,1750,80304828605,1799,49854611382,1878,1103131111,1909,08458812934,1955,46155736098,2024,11732438255,2094,02421738306,2201,39684777688,2286,01319823426,2361,05658121979,2425,56159007818,2490,95631434671,2559,51131656583
Brazil,8803,15252917931,8804,32948764487,8954,83724534174,8943,82848255785,9346,03934316368,9535,41883036578,9805,72450610977,10293,530341463,10710,8722205603,10594,9865923924,11286,2430162457,11627,8106505917,11745,7759262897,11993,4839848731,11951,2094463497,11431,1544808449,10965,9742614391,11021,7182622703,11079,709675038
Canada,39340,7481637975,39462,6532571473,40371,7059070616,41534,2373887038,42759,0813179493,44473,2406883557,45860,2245567813,48536,5325039561,48497,5601634954,46542,9048669025,47450,3184700703,48466,8509137808,48788,3330323308,49400,4583019198,50309,1598958888,50279,5858388522,50263,8343266551,51146,4812449631,51393,2214160233
Chile,9419,98294955914,9622,15362871309,9814,65613491896,10109,6680484322,10726,6448499322,11225,0799494747,11808,8347703093,12256,4296859791,12553,7948363739,12227,2145300329,12808,034586422,13455,8378125533,14035,679130826,14461,174377579,14561,3261643081,14722,3663276289,14771,2576454401,14748,5105808779,15130,1543224458
China,1767,83362700858,1901,40762975195,2061,16228377566,2253,92968857986,2467,13284333364,2732,16587968884,3062,53490453063,3480,15272549424,3796,63336331896,4132,90231241877,4550,45359583857,4961,23468857388,5325,1601061666,5710,5878733775,6096,48781698006,6484,43594759644,6883,89542488146,7308,06536597714,7752,5595253168
Colombia,4857,80115237848,4862,50154734803,4908,73012307454,5026,24215483602,5219,7923309257,5392,19057860821,5684,02285577118,5998,78814293754,6121,74515048081,6126,99551489325,6326,54946861963,6726,83468623466,6926,62519869364,7177,46579753109,7441,31033370509,7572,36550490706,7626,00294628467,7613,72657656518,7691,74556389965
Denmark,55850,6307697047,56108,9591037993,56190,8112484775,56256,7557391673,57608,7372315592,58792,6604579917,60892,7715799007,61174,5416304036,60504,7769830456,57229,0398875643,58041,3984363385,58575,6078086932,58487,7935518014,58788,0841620803,59437,9473217704,60402,1292476134,61877,9764806794,62733,0198084484,63915,4683608434
Ethiopia,197,432305149369,207,752705244742,204,938205916459,194,873070098516,215,154562212426,233,944190480862,252,212288224834,273,492119814399,294,805427784673,312,033849443538,341,554114905179,369,202407829027,389,938966721631,419,183860251535,449,420377149128,482,639066335501,514,057306751986,548,117495566997,570,305676779185
Finland,40403,5495981061,41363,6930102538,41967,9675759734,42706,9211509585,44283,1625208917,45358,561649442,47004,6158238481,49285,2720556068,49440,9681805579,45231,9617406414,46459,9732548543,47423,2104202424,46538,57742909,45906,7993432986,45550,4981364438,45655,2232546307,46720,563747789,48033,2871498753,48771,4003716093
France,38309,4427405638,38786,0858022319,38942,2812150806,38985,5358593536,39794,6355114869,40152,6928743383,40850,3555437969,41582,7997168242,41456,4834259857,40058,679756449,40638,33400426,41329,0353691755,41258,2747345168,41282,9908062445,41480,7696114841,41793,5447158876,42141,8356293878,43001,5912857189,43670,1934169926
Germany,37930,486214219,38509,6069067196,38368,6183296711,38073,7606653695,38535,1709892798,38835,3823683537,40362,2941572851,41622,3558290865,42102,8532926964,39804,9212955522,41531,9341978689,43969,259276339,44070,9217011381,44139,0324281303,44933,7204124885,45321,4029527014,45959,5746129064,46916,8241814135,47490,5171174224
Ghana,952,137474702379,966,261867015423,985,333256906714,1011,3976207133,1041,82622676295,1075,86577170557,1115,84971840359,1134,69763510455,1206,99040627354,1233,67756113945,1298,43695159215,1445,36088882672,1542,6851834027,1617,46675421715,1626,62278298405,1624,76962330867,1643,44874426684,1738,2519312514,1807,06353938242
Greece,23275,4443039169,24111,41745243,24965,5940189617,26349,2773212451,27614,4059308213,27698,5106178693,29176,3928555464,30054,8893906847,29874,7434421564,28514,8100925637,26917,7589787254,24495,7111408242,22830,5267783973,22251,2572849313,22565,6804783288,22615,3945784347,22666,2862274074,23052,9862313961,23549,1759203743
Iceland,37465,4498032304,38412,137215386,38330,1254447259,38928,9874111116,41692,0950539234,43635,0158665254,44859,8325407364,47835,3842378276,47889,3865451986,44491,7360123238,43024,9238377351,43700,7929936672,44032,4245369798,45420,9903303262,45852,9134505774,47405,0431710697,50188,4984203626,51281,9877403543,52229,1735873606
India,826,592493112359,851,616569294484,869,201387421835,922,167960042853,979,283847700059,1040,31231291865,1106,9264701603,1173,87530979278,1192,51173233371,1268,24921034763,1357,56371913262,1410,426304742,1469,17761007839,1544,61924724913,1640,18070024053,1751,66443439956,1874,22856135458,1987,34115123471,2100,80078047205
Indonesia,2143,65950412517,2191,57417695176,2259,30770358823,2335,59404450348,2420,39718164001,2524,22242375952,2627,90524538688,2757,8936698443,2885,30927484934,2979,00471389962,3122,36281521649,3270,61948985329,3421,27352044829,3563,29986394283,3692,97344616041,3824,27488523624,3968,05591117705,4120,42856058396,4284,65253543916
Iraq,4323,72623508853,4293,5594571164,3881,26013962643,2524,38111249936,3792,54179752013,3869,95342447494,4181,40081811838,4168,66704409654,4436,25206984141,4493,18412633592,4657,28042580536,4848,44239867785,5322,38530653205,5508,04357882812,5344,3319642002,5298,10391212163,5930,9488148423,5637,90527139167,5477,69614815968
Ireland,44101,1073860839,45695,5884140224,47591,8934268818,48236,9627237451,50546,4910496272,52276,2443324511,53466,0662222331,54708,0705789754,51202,3593236575,48110,551499518,48715,1768553933,48669,785700893,48573,3772496171,48971,3696835874,52774,5011801883,65432,7344447117,67077,7436062674,71755,9670176427,76662,7845982357
Israel,27741,2750877262,27127,2217339532,26582,3779821991,26360,0897842174,26982,3062484689,27547,8254191261,28571,1332556547,29688,6713567678,30039,8370606234,29601,4250509176,30693,5930786871,31572,903434204,31695,0064286299,32399,4651798838,32977,9608677296,33071,4121256829,33720,7644976024,34243,0125958545,34749,6781958625
Italy,36329,2489368805,37017,3699581292,37056,14917483,36942,9393820643,37227,1479400919,37347,6359290146,37902,3070926424,38272,2040964632,37653,7480014558,35503,1510279269,36000,5201179254,36192,8663751007,35019,4718880864,33978,551774946,33666,6919106164,33961,4361902228,34454,5139247246,35098,3704710631,35437,44092083
Jamaica,4658,56313156003,4685,9130038296,4747,3024861999,4891,21637817991,4927,63105504897,4944,47872915523,5061,21889926376,5108,06395643915,5041,74115405343,4799,01435544021,4704,05445468166,4759,25695989892,4703,08640587979,4699,26632430998,4704,72595468163,4722,04652138141,4761,94016718831,4785,65354700462,4855,26207081811
Japan,42169,7332837779,42239,1849263728,42190,8048727978,42744,0112849926,43671,6799739036,44393,6263842134,44995,4944919183,45687,2738147645,45165,7879187717,42724,7603699577,44507,6763859172,44538,7261906952,45276,8743354249,46249,2095886537,46484,1552668954,47102,5808781405,47444,1435613537,48438,8345811626,48919,798941967
